family,keying,snr_db,n_frames,outsider_recovery,insider_recovery
structured,fixed,0,1,0.425,0.685
structured,fixed,0,2,0.46,0.75
structured,fixed,0,4,0.645,0.89
structured,fixed,10,1,0.905,0.975
structured,fixed,10,2,0.95,0.985
structured,fixed,10,4,0.99,0.995
structured,fixed,20,1,0.985,0.99
structured,fixed,20,2,1,1
structured,fixed,20,4,1,1
structured,refreshed,10,2,0,0.98
learned,fixed,0,1,0,0
learned,fixed,0,2,0,0
learned,fixed,0,4,0,0
learned,fixed,10,1,0,0
learned,fixed,10,2,0,0
learned,fixed,10,4,0,0
learned,fixed,20,1,0,0
learned,fixed,20,2,0,0
learned,fixed,20,4,0,0
learned,refreshed,10,2,0,0
