snr_db,n_frames,kappa,eve_ser
0,1,0.2374871574,0.99874975
0,2,0.6126027606,0.96312825
0,3,0.7285515711,0.921628875
0,4,0.8244251639,0.85221925
0,5,0.868628718,0.797125
0,6,0.8920436099,0.745713875
0,8,0.9208301157,0.67688775
0,10,0.9429872826,0.592138625
0,12,0.9557282105,0.534421875
0,16,0.9700051412,0.44833975
0,24,0.9802580416,0.38197025
0,32,0.9852379695,0.351050875
0,48,0.9904022858,0.32166525
0,64,0.993118532,0.307348
10,1,0.3489475794,0.989224875
10,2,0.8794977516,0.704872
10,3,0.9473693997,0.547376875
10,4,0.9682661489,0.455776875
10,5,0.9782963678,0.3962285
10,6,0.9843041778,0.359232
10,8,0.9900029436,0.326613375
10,10,0.9934537426,0.306601375
10,12,0.9949941516,0.2992645
10,16,0.9965374678,0.291205125
10,24,0.9978871465,0.285018125
10,32,0.9984912023,0.28255425
10,48,0.9990138412,0.280105125
10,64,0.9992718786,0.279036875
20,1,0.596763967,0.861350125
20,2,0.984469898,0.34732075
20,3,0.9948319912,0.300176375
20,4,0.9975389287,0.286598125
20,5,0.9984581739,0.282405125
20,6,0.9988854468,0.2803655
20,8,0.9992000297,0.279362875
20,10,0.9994319767,0.278179625
20,12,0.9995499209,0.277694875
20,16,0.9996712342,0.277181875
20,24,0.9997934118,0.276410875
20,32,0.999845539,0.2763615
20,48,0.9999018267,0.276363875
20,64,0.9999270439,0.276194125
