snr_db,n_frames,kappa,eve_ser
0,1,0.2127109103,0.993336
0,2,0.7559393242,0.666508
0,3,0.8627683729,0.392272125
0,4,0.9179756209,0.218212875
0,5,0.945390512,0.14425925
0,6,0.9590921029,0.107493
0,8,0.9725584686,0.086112625
0,10,0.9778045967,0.07933375
0,12,0.9831736788,0.07420325
0,16,0.9879393309,0.070712875
0,24,0.9925390184,0.067800375
0,32,0.9945808738,0.06649325
0,48,0.9965663388,0.065265
0,64,0.9975094497,0.065024875
10,1,0.3165432975,0.948993875
10,2,0.9290210679,0.19776825
10,3,0.9781143948,0.095876875
10,4,0.9896475986,0.070495125
10,5,0.9934410676,0.067297125
10,6,0.9953705788,0.06628575
10,8,0.9971551418,0.06520175
10,10,0.9979188025,0.064684875
10,12,0.9982561454,0.06454375
10,16,0.9987509355,0.06426625
10,24,0.9992754847,0.064091125
10,32,0.9994516179,0.06386675
10,48,0.9996520028,0.063819875
10,64,0.999746412,0.063847125
20,1,0.742194891,0.513137625
20,2,0.9947786465,0.06753025
20,3,0.9986294076,0.06438075
20,4,0.9992210969,0.064160375
20,5,0.9994008377,0.064080125
20,6,0.9995701849,0.063900375
20,8,0.9997365534,0.063852875
20,10,0.9998067141,0.063813
20,12,0.9998438716,0.06370225
20,16,0.9998808399,0.063670875
20,24,0.9999239221,0.06380125
20,32,0.9999452353,0.063820625
20,48,0.9999649763,0.063811
20,64,0.9999733046,0.06377525
