K,ser_mask,ser_perm,ser_pad,best_kappa,best_frac
1,0.9993527855,0.9999542171,0.9999893771,0.1909643153,0.0160546875
3,0.9977393447,0.9999284847,0.9999681312,0.3326517476,0.0281640625
10,0.9952796283,0.9998968587,0.9998937706,0.450762326,0.043046875
30,0.9895360243,0.9998741146,0.9996813118,0.5560672497,0.05375
100,0.9834025595,0.9998495442,0.998937706,0.6290900875,0.0653125
300,0.9728417994,0.9998307015,0.996813118,0.688703621,0.0741796875
1000,0.9568452325,0.9998081233,0.9893770599,0.7427389508,0.0848046875
3000,0.9366731394,0.9997877864,0.9681311798,0.7822538913,0.094375
10000,0.9075372546,0.9997705208,0.8937705994,0.8169040678,0.1025
30000,0.8818766363,0.9997525081,0.6813117981,0.8434367197,0.1109765625
65536,0.8592861449,0.9997413851,0.303815,0.8592030095,0.1162109375
100000,0.8443657504,0.9997355745,0.303815,0.8678447033,0.1189453125
300000,0.802269081,0.9997181429,0.303815,0.8874619916,0.1271484375
1000000,0.7622180175,0.9997021224,0.303815,0.9034448904,0.1346875
