jsr_db,blind,matched,perm_blind,oma_targeted
-10,0.4691233333,0.7203966667,0.4694833333,0.6401244609
-8,0.52954,0.7906333333,0.5275833333,0.7152454705
-6,0.5965433333,0.8503566667,0.59758,0.7840240868
-4,0.6703433333,0.8956333333,0.6699733333,0.8424432091
-2,0.7420833333,0.9283666667,0.7431533333,0.8888838836
0,0.8070433333,0.9532066667,0.8059933333,0.9237966241
2,0.8593066667,0.96942,0.85862,0.9488822017
4,0.9014266667,0.9805533333,0.9025733333,0.9662811712
6,0.9327633333,0.9872533333,0.9318466667,0.9780307416
8,0.9549433333,0.9917766667,0.9550866667,0.9858109157
10,0.9699833333,0.99508,0.9707366667,0.9908905586
12,0.98118,0.9966966667,0.9804366667,0.9941743502
14,0.9872866667,0.9979833333,0.9879066667,0.9962827887
16,0.9922966667,0.99871,0.9921133333,0.9976304229
18,0.9948766667,0.9992,0.99484,0.9984893291
20,0.99685,0.9994833333,0.9969366667,0.9990359654
