jsr_db,blind,matched,nojam
-10,0.114422,0.38569,0.060494
-8,0.143006,0.483718,0.060494
-6,0.183328,0.586128,0.060494
-4,0.239698,0.685262,0.060494
-2,0.310968,0.772466,0.060494
0,0.398118,0.840574,0.060494
2,0.493594,0.893422,0.060494
4,0.594688,0.929018,0.060494
6,0.686344,0.953816,0.060494
8,0.768698,0.970236,0.060494
10,0.835132,0.980904,0.060494
12,0.886322,0.98835,0.060494
14,0.923646,0.992284,0.060494
16,0.949318,0.995096,0.060494
18,0.967192,0.996858,0.060494
20,0.978764,0.998038,0.060494
