L,d,legit_ser,eve_ser,mask_xcorr,oma
4,16,0.9997925,0.999963,0.01188752614,0.961963405
6,24,0.9921175,0.9996935,0.09415384382,nan
8,32,0.9297855,0.999972,0.007307400461,0.4769767714
10,40,0.6965535,0.9999585,0.006223429926,nan
12,48,0.416604,0.999781,0.005153660662,nan
14,56,0.3323575,0.999695,0.005685989745,nan
16,64,0.2762895,0.9999285,0.007116591092,0.2747696909
20,80,0.2076175,0.9996245,0.003162040841,0.2289444229
24,96,0.1829615,0.999975,0.002973971656,0.1961714033
32,128,0.131901,0.9998895,0.005575809628,0.1524639978
48,192,0.090206,0.999845,0.005743456539,0.1054308944
64,256,0.0635265,0.9997915,0.006678360514,0.08056383667
