frac,ser_mask,ser_perm,ser_pad
0,0.9999758333,0.9999883333,0.9999886992
0.2,0.9998233333,0.999845,0.9998961502
0.4,0.998725,0.9983133333,0.9990456633
0.6,0.98967125,0.9839833333,0.9912300403
0.75,0.9379629167,0.9079,0.953711875
0.85,0.7883508333,0.75701,0.8596806442
0.9,0.6134920833,0.5836283333,0.7556898116
0.92,0.5265704167,0.5003716667,0.6950201284
0.94,0.43973,0.456195,0.6192843094
0.955,0.3805966667,0.3946716667,0.5503775633
0.97,0.3297841667,0.3282283333,0.4689992019
0.985,0.2895645833,0.2584466667,0.3728919542
1,0.2575758333,0.2577083333,0.25939
