snr_db,legit,eve_wrong,eve_none,eve_public,oma,chance
0,0.8944596875,0.9999621875,0.999988125,0.8945528125,0.8933480658,0.9999847412
2,0.79877875,0.9999559375,0.999986875,0.798940625,0.7973276257,0.9999847412
4,0.6697890625,0.9999446875,0.99998625,0.6702265625,0.6686275787,0.9999847412
6,0.5269903125,0.999944375,0.99999125,0.5272609375,0.525415822,0.9999847412
8,0.39087,0.9999415625,0.999988125,0.39062875,0.3892153151,0.9999847412
10,0.2760796875,0.9999296875,0.999986875,0.2753090625,0.2747696909,0.9999847412
12,0.1876809375,0.9999203125,0.9999884375,0.1878209375,0.1870712987,0.9999847412
14,0.1250471875,0.999920625,0.9999896875,0.12470875,0.1241256148,0.9999847412
16,0.0812634375,0.9999153125,0.999985625,0.08121,0.08092517452,0.9999847412
18,0.05243375,0.9999090625,0.9999865625,0.0526228125,0.05214810026,0.9999847412
20,0.0335228125,0.9999196875,0.999988125,0.033636875,0.03334949917,0.9999847412
