check,claim,empirical,abs_err,tol,verdict
V1 legit self-alignment,1.0,0.9994724071424732,0.000527592857526793,0.02,PASS
V2a eve mean advantage,0.0,0.0006469982936097643,0.0006469982936097643,0.003,PASS
V2b eve SER @ 0dB,0.99609375,0.995,0.0010937500000000044,0.015,PASS
V2b eve SER @ 10dB,0.99609375,0.9888333333333333,0.007260416666666658,0.015,PASS
V2b eve SER @ 20dB,0.99609375,0.9881666666666666,0.007927083333333362,0.015,PASS
V2b eve SER @ 80dB,0.99609375,0.9896666666666667,0.0064270833333333055,0.015,PASS
V3a bias slope in kappa,1.0,0.9932,0.0068,0.03,PASS
V3b random mask E|corr|,0.09973557010035818,0.10187042771408686,0.002134857613728683,0.002992067103010745,PASS
V4a blind jammer projection mean,0.0,0.00026396107284673695,0.00026396107284673695,0.003,PASS
V4b blind jammer projection variance,0.01558576233568703,0.015476787953278994,0.00010897438240803532,0.0001558576233568703,PASS
V5 matched bias over blind RMS,8.0,8.0,0.04,1.0,PASS
V6 coded-OMA outage @ 10 dB,0.0406,0.040575,0,0,REFERENCE
V7 symbolic identities,exact,exact,0,0,PASS
V8 cross-period remainder,0.0,0.000337,0.000337,0.0005,PASS
V9 score-variance ratio,2.8,2.8252,0.0252,0.05,PASS
V10 format-matched OMA at 10 dB,0.055,0.05520,0.00020,0.001,PASS
V11 OMA closed form vs Monte Carlo,0.081245,0.080925,0.0039,0.01,PASS
